,Set,Name,Amount,Foil?,Notes
,New Phyrexia,Spined Thopter,1,,
,New Phyrexia,Xenograft,1,,
,Avacyn Restored,Ghostform,2,,
,Avacyn Restored,Dreadwaters,2,,
,Avacyn Restored,Amass the Components,2,,
,Avacyn Restored,Mass Appeal,2,,
,Avacyn Restored,Stolen Goods,4,,
,Avacyn Restored,Ghostly Touch,1,,
,Avacyn Restored,Alchemist's Apprentice,2,,
,Avacyn Restored,Stern Mentor,2,,
,Avacyn Restored,Galvanic Alchemist,1,,
,Avacyn Restored,Elgaud Shieldmate,2,,
,Avacyn Restored,Rotcrown Ghoul,3,,
,Avacyn Restored,Scrapskin Drake,3,,
,Avacyn Restored,Nephalia Smuggler,1,,
,Avacyn Restored,Havengul Skaab,2,,
,Avacyn Restored,Tandem Lookout,1,,
,Avacyn Restored,Mist Raven,1,,
,Avacyn Restored,Gryff Vanguard,1,,
,Avacyn Restored,Captain of the Mists,1,,
,Avacyn Restored,Crippling Chill,3,,
,Avacyn Restored,Outwit,2,,
,Avacyn Restored,Peel from Reality,2,,
,Avacyn Restored,Geist Snatch,1,,
,Avacyn Restored,Ghostly Flicker,1,,
,Avacyn Restored,Fleeting Distraction,1,,
,Avacyn Restored,Second Guess,2,,
,Avacyn Restored,Vanishment,1,,
,Magic 2011,Merfolk Sovereign,1,,
,Innistrad,Lantern Spirit,3,,
,Innistrad,Stitcher's Apprentice,9,,
,Innistrad,Battleground Geist,6,,
,Innistrad,Armored Skaab,8,,
,Innistrad,Murder of Crows,4,,
,Innistrad,Civilized Scholar,3,,
,Innistrad,Fortress Crab,3,,
,Innistrad,Ludevic's Test Subject,1,,
,Innistrad,Sturmgeist,1,,
,Innistrad,Makeshift Mauler,7,,
,Innistrad,Skaab Goliath,5,,
,Innistrad,Selhoff Occultist,7,,
,Innistrad,Deranged Assistant,5,,
,Innistrad,Moon Heron,6,,
,Innistrad,Invisible Stalker,2,,
,Innistrad,Delver of Secrets,6,,
,Innistrad,Stitched Drake,5,,
,Innistrad,Sensory Deprivation,10,,
,Innistrad,Claustrophobia,6,,
,Innistrad,Curiosity,2,,
,Innistrad,Spectral Flight,4,,
,Innistrad,Curse of the Bloody Tome,5,,
,Innistrad,Rooftop Storm,1,,
,Innistrad,Silent Departure,5,,
,Innistrad,Runic Repetition,3,,
,Innistrad,Grasp of Phantoms,1,,
,Innistrad,Dream Twist,3,,
,Innistrad,Memory's Journey,1,,
,Innistrad,Lost in the Mist,5,,
,Innistrad,Hysterical Blindness,4,,
,Innistrad,Think Twice,2,,
,Innistrad,Forbidden Alchemy,9,,
,Innistrad,Dissipate,1,,
,Innistrad,Frightful Delusion,2,,
,Innistrad,Cackling Counterpart,3,,
,Return to Ravnica,Crosstown Courier,3,,
,Return to Ravnica,Soulsworn Spirit,1,,
,Return to Ravnica,Aquus Steed,1,,
,Return to Ravnica,Tower Drake,1,,
,Return to Ravnica,Stealer of Secrets,2,,
,Return to Ravnica,Voidwielder,1,,
,Return to Ravnica,Sphinx of the Chimes,2,,
,Return to Ravnica,Runewing,2,,
,Return to Ravnica,Chronic Flooding,2,,
,Return to Ravnica,Paralyzing Grasp,2,,
,Return to Ravnica,Inaction Injunction,2,,
,Return to Ravnica,Downsize,2,,
,Return to Ravnica,Mizzium Skin,1,,
,Return to Ravnica,Cancel,2,,
,Return to Ravnica,Inspiration,2,,
,Gatecrash,Gridlock,1,,
,Gatecrash,Spell Rupture,1,,
,Gatecrash,Totally Lost,1,,
,Gatecrash,Skygames,2,,
,Gatecrash,Clinging Anemones,1,,
,Gatecrash,Leyline Phantom,1,,
,Gatecrash,Incursion Specialist,1,,
,Gatecrash,Sapphire Drake,1,,
,Gatecrash,Metropolis Sprite,1,,
,Gatecrash,Frilled Oculus,1,,
,Dark Ascension,Stormbound Geist,1,,
,Dark Ascension,Niblis of the Breath,1,,
,Dark Ascension,Shriekgeist,1,,
,Dark Ascension,Nephalia Seakite,3,,
,Dark Ascension,Relentless Skaabs,2,,
,Dark Ascension,Thought Scour,1,,
,Dark Ascension,Bone to Ash,1,,
,Dark Ascension,Griptide,1,,
,Dark Ascension,Saving Grasp,2,,
,Dark Ascension,Chant of the Skifsang,1,,
,Dark Ascension,Secrets of the Dead,1,,
,Dark Ascension,Mystic Retrieval,1,,
,Dark Ascension,Artful Dodge,1,,
,Dark Ascension,Divination,2,,
,Zendikar,Caller of Gales,1,,
,Zendikar,Umara Raptor,1,,
,Zendikar,Hedron Crab,1,,
,Zendikar,Sky Ruin Drake,2,,
,Zendikar,Paralyzing Grasp,2,,
,Zendikar,Ior Ruin Expedition,1,,
,Zendikar,Trapfinder's Trick,1,,
